,route,depature,error
343,B->C->D,1900-01-01 14:03:00,7.0449231053652
344,B->C->D,1900-01-01 16:42:00,2.456587904781628
345,B->C->D,1900-01-01 12:29:00,11.128242998689018
346,B->C->E,1900-01-01 11:33:00,0.9100970085879254
347,A->C->D,1900-01-01 16:08:00,7.729497721187855
348,A->C->D,1900-01-01 14:26:00,0.35548408546510757
349,A->C->E,1900-01-01 14:13:00,6.05453406808013
350,A->C->D,1900-01-01 15:09:00,8.856790147161462
351,B->C->E,1900-01-01 12:58:00,0.19409828955235753
352,B->C->E,1900-01-01 11:45:00,0.04855565299531861
353,A->C->D,1900-01-01 14:37:00,7.579660029614999
354,B->C->D,1900-01-01 14:49:00,1.7984487467683437
355,B->C->E,1900-01-01 10:53:00,2.145315644151083
356,B->C->D,1900-01-01 11:53:00,9.433608174898879
357,A->C->E,1900-01-01 09:42:00,0.5417299145242112
358,B->C->D,1900-01-01 16:53:00,6.316707895942102
359,B->C->D,1900-01-01 11:53:00,4.433608174898879
360,A->C->E,1900-01-01 10:23:00,1.5319786821702905
361,B->C->D,1900-01-01 12:06:00,6.649917157625424
362,A->C->D,1900-01-01 08:44:00,3.062468519903277
363,B->C->E,1900-01-01 08:25:00,1.1688460696976506
364,A->C->D,1900-01-01 13:18:00,0.44208560759568627
365,B->C->D,1900-01-01 07:00:00,8.874398878669297
366,A->C->D,1900-01-01 13:40:00,10.34398810252253
367,A->C->E,1900-01-01 07:58:00,4.728698062237058
368,B->C->E,1900-01-01 12:29:00,0.8594898989013018
369,A->C->E,1900-01-01 14:30:00,3.02397196701169
370,A->C->E,1900-01-01 08:12:00,3.703529273121873
371,A->C->E,1900-01-01 16:55:00,2.2367047773956585
372,A->C->E,1900-01-01 10:09:00,0.4931901069449083
373,A->C->E,1900-01-01 09:29:00,0.5651009329883152
374,B->C->E,1900-01-01 12:10:00,3.337011162177248
375,A->C->D,1900-01-01 15:33:00,2.717335616454889
376,B->C->E,1900-01-01 07:14:00,1.594564815265926
377,B->C->D,1900-01-01 12:03:00,4.631352786491
378,A->C->D,1900-01-01 14:00:00,6.515245622825304
379,A->C->D,1900-01-01 11:32:00,5.320475963670589
380,B->C->D,1900-01-01 08:26:00,1.4055911203124367
381,B->C->E,1900-01-01 10:38:00,3.027757661358109
382,A->C->D,1900-01-01 09:19:00,0.19644469486962635
383,B->C->D,1900-01-01 08:59:00,2.9019399948005997
384,B->C->E,1900-01-01 10:44:00,2.041471660845559
385,B->C->D,1900-01-01 14:35:00,1.0387766428913636
386,A->C->D,1900-01-01 09:42:00,3.0854414133338253
387,A->C->D,1900-01-01 13:29:00,3.7044546929517708
388,B->C->D,1900-01-01 10:32:00,4.543106606231021
389,B->C->E,1900-01-01 10:25:00,2.8222454738672553
390,B->C->E,1900-01-01 09:47:00,0.08054055016494033
391,B->C->E,1900-01-01 07:00:00,0.7560999004078184
392,A->C->D,1900-01-01 13:09:00,8.08074113628443
393,A->C->D,1900-01-01 09:39:00,3.805811885677471
394,B->C->D,1900-01-01 14:00:00,9.451872563983741
395,A->C->E,1900-01-01 07:15:00,7.806002200233721
396,B->C->E,1900-01-01 15:15:00,1.6186604206389745
397,A->C->D,1900-01-01 15:53:00,0.48879953121991093
398,B->C->D,1900-01-01 08:29:00,0.43835414880163626
399,B->C->D,1900-01-01 14:13:00,5.092219337316507
400,A->C->E,1900-01-01 14:00:00,3.0779050865442343
401,A->C->E,1900-01-01 08:36:00,5.660382777495826
402,B->C->D,1900-01-01 13:50:00,7.552493239574531
403,A->C->E,1900-01-01 16:27:00,0.8136328008347249
404,B->C->E,1900-01-01 16:09:00,4.692343971060154
405,B->C->E,1900-01-01 13:02:00,1.240251171021498
406,B->C->D,1900-01-01 07:47:00,1.9677444919855702
407,B->C->D,1900-01-01 16:58:00,7.103342232432155
408,B->C->D,1900-01-01 10:58:00,1.2805673516746054
409,B->C->D,1900-01-01 14:06:00,3.648030616209894
410,A->C->D,1900-01-01 11:55:00,7.071490641178514
411,B->C->E,1900-01-01 09:03:00,0.26960630425892873
412,A->C->D,1900-01-01 11:39:00,0.6682776442058582
413,B->C->D,1900-01-01 09:51:00,3.3641824706382693
414,B->C->D,1900-01-01 16:26:00,0.538275923603635
415,A->C->D,1900-01-01 09:33:00,2.728531332015848
416,B->C->D,1900-01-01 16:20:00,2.259901348280124
417,B->C->D,1900-01-01 09:25:00,0.990245212771157
418,B->C->E,1900-01-01 14:23:00,0.21864787973747468
419,B->C->E,1900-01-01 16:22:00,2.7609054434601745
420,A->C->D,1900-01-01 08:40:00,3.1363229036111164
